Player,Salary,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, , , , , , , , ,OWS,DWS,WS,WS/48, , , , , , , , ,OBPM,DBPM,BPM,VORP
Terry Rozier,23205221,SG-PG,29,TOT,38,37,34.5,7.6,17.0,.444,2.4,7.1,.343,5.1,9.9,.516,.515,3.4,4.0,.861,0.6,3.5,4.1,6.4,1.1,0.4,2.0,1.8,20.9,17.8,.559,.415,.234,2.0,11.9,6.7,29.8,1.5,1.0,9.5,26.1,,,,,,,,,1.6,0.5,2.2,.080,,,,,,,,,2.6,-1.2,1.4,1.1
Dillon Brooks,22627671,SF,28,HOU,41,41,31.1,5.0,10.9,.458,1.9,4.8,.393,3.1,6.1,.510,.545,1.9,2.3,.840,0.7,2.7,3.4,1.6,1.0,0.1,1.4,3.6,13.8,10.4,.580,.440,.211,2.5,9.5,6.0,7.4,1.5,0.3,10.5,18.3,,,,,,,,,0.5,1.4,1.9,.073,,,,,,,,,-3.0,0.2,-2.8,-0.2
Malcolm Brogdon,22500000,PG,31,POR,39,25,28.7,5.6,12.7,.440,2.1,5.1,.412,3.5,7.6,.458,.522,2.4,3.0,.819,0.7,3.1,3.8,5.5,0.7,0.2,1.5,1.5,15.7,16.9,.560,.401,.234,2.7,12.9,7.4,30.8,1.2,0.6,9.9,23.0,,,,,,,,,1.8,0.6,2.5,.106,,,,,,,,,2.5,-0.7,1.8,1.1
Draymond Green,22321429,PF,33,GSW,23,20,27.1,3.3,6.8,.487,1.1,2.6,.417,2.2,4.2,.531,.567,1.4,1.8,.805,1.3,5.1,6.4,6.2,0.7,1.0,2.5,3.1,9.1,14.3,.603,.385,.263,5.1,20.5,12.8,30.1,1.2,3.2,24.7,15.6,,,,,,,,,0.7,0.7,1.4,.108,,,,,,,,,0.3,2.5,2.8,0.7
Aaron Gordon,22266182,PF,28,DEN,45,45,31.9,5.4,9.9,.543,0.6,1.8,.305,4.8,8.1,.596,.571,2.3,3.7,.630,2.6,4.0,6.6,3.1,0.8,0.7,1.3,1.9,13.6,16.1,.591,.184,.370,9.3,13.8,11.6,13.2,1.2,1.8,10.4,17.6,,,,,,,,,2.4,1.5,3.9,.132,,,,,,,,,0.7,-0.3,0.4,0.9
Bruce Brown,22000000,SG-PG,27,TOT,42,38,29.2,4.4,9.3,.469,1.0,2.9,.331,3.4,6.4,.532,.521,1.8,2.2,.837,0.9,3.9,4.8,2.8,1.0,0.4,1.2,2.4,11.5,11.9,.561,.310,.236,3.4,15.2,9.3,11.9,1.7,1.0,10.8,16.5,,,,,,,,,0.9,0.8,1.6,.064,,,,,,,,,-2.0,-0.6,-2.6,-0.2
Mikal Bridges,21700000,SF,27,BRK,50,50,35.3,7.7,16.9,.454,2.5,6.8,.369,5.2,10.1,.512,.528,4.0,4.8,.826,0.9,4.1,4.9,3.7,1.0,0.4,2.3,1.6,21.9,16.1,.574,.401,.286,2.5,12.8,7.5,16.0,1.3,1.1,10.6,25.7,,,,,,,,,1.6,1.3,2.9,.078,,,,,,,,,1.1,-1.0,0.1,0.9
Myles Turner,20975000,C,27,IND,49,49,27.3,6.2,12.0,.517,1.3,4.1,.332,4.8,7.9,.612,.573,3.3,4.2,.786,1.7,5.3,6.9,1.3,0.6,1.8,1.4,3.2,17.0,18.6,.616,.340,.352,6.9,22.1,14.5,6.3,0.9,5.2,9.5,23.2,,,,,,,,,2.1,1.2,3.4,.120,,,,,,,,,0.3,-0.4,-0.1,0.6
Clint Capela,20616000,C,29,ATL,47,47,25.7,4.8,8.4,.575,0.0,0.0,,4.8,8.4,.575,.575,1.8,2.8,.649,4.8,5.8,10.6,1.0,0.6,1.5,0.9,2.4,11.5,20.8,.595,.000,.332,19.4,25.3,22.2,5.3,1.1,5.2,8.1,16.7,,,,,,,,,3.0,1.1,4.1,.163,,,,,,,,,1.2,-1.3,-0.1,0.6
Spencer Dinwiddie,20357143,PG,30,BRK,48,48,30.7,4.1,10.4,.391,1.9,5.8,.320,2.2,4.6,.480,.480,2.6,3.3,.781,0.5,2.8,3.3,6.0,0.8,0.2,1.3,1.8,12.6,13.2,.530,.557,.321,1.8,9.9,5.8,26.5,1.3,0.5,9.8,18.3,,,,,,,,,1.9,0.9,2.8,.090,,,,,,,,,-0.5,-0.7,-1.2,0.3
De'Andre Hunter,20089286,SF,26,ATL,27,24,28.8,5.0,10.6,.474,1.9,4.7,.405,3.1,6.0,.528,.563,2.7,3.1,.871,0.6,3.3,4.0,1.4,0.8,0.3,1.4,2.8,14.7,12.7,.612,.439,.296,2.3,13.0,7.5,6.5,1.3,1.0,10.7,19.1,,,,,,,,,0.8,0.2,1.1,.067,,,,,,,,,-1.0,-1.3,-2.3,-0.1
Jarrett Allen,20000000,C,25,CLE,43,43,30.3,6.4,9.9,.649,0.0,0.0,.000,6.4,9.9,.651,.649,2.7,3.6,.750,3.6,7.0,10.6,2.8,0.8,1.1,1.8,2.3,15.6,22.4,.678,.002,.367,13.2,25.2,19.3,13.8,1.3,3.4,13.3,18.9,,,,,,,,,3.7,2.5,6.2,.230,,,,,,,,,2.1,1.7,3.8,1.9
Bojan Bogdanovic,20000000,PF,34,DET,28,27,32.9,7.1,15.2,.468,3.1,7.4,.415,4.0,7.8,.518,.569,2.9,3.7,.779,0.5,2.9,3.4,2.5,0.8,0.1,2.3,2.0,20.2,13.9,.600,.487,.245,1.6,10.1,5.7,11.7,1.2,0.4,11.8,24.5,,,,,,,,,0.5,0.2,0.7,.034,,,,,,,,,0.3,-2.5,-2.2,-0.1
Keldon Johnson,20000000,SF,24,SAS,46,26,30.4,6.1,13.3,.455,1.8,5.2,.342,4.3,8.2,.527,.521,2.8,3.6,.776,1.5,4.4,5.9,3.2,0.9,0.3,1.6,2.4,16.7,14.7,.559,.387,.269,5.1,15.9,10.4,15.6,1.4,0.9,9.9,22.8,,,,,,,,,0.9,0.9,1.8,.061,,,,,,,,,-0.4,-1.4,-1.8,0.1
Joe Harris,19928571,SG,32,DET,15,0,10.5,0.9,2.4,.361,0.7,1.9,.345,0.2,0.5,.429,.500,0.1,0.1,.500,0.2,0.7,0.9,0.7,0.2,0.1,0.3,1.2,2.5,5.0,.502,.806,.056,2.1,7.3,4.6,8.0,0.9,1.0,9.8,10.9,,,,,,,,,0.0,0.0,0.0,.000,,,,,,,,,-4.4,-1.0,-5.4,-0.1
Jakob Poeltl,19500000,C,28,TOR,39,39,26.6,4.8,6.9,.696,0.0,0.0,,4.8,6.9,.696,.696,1.2,2.2,.529,2.6,5.7,8.3,2.4,0.6,1.4,1.7,3.1,10.8,18.0,.685,.000,.315,10.8,24.2,17.3,12.9,1.2,4.7,17.5,15.4,,,,,,,,,1.7,1.2,2.9,.136,,,,,,,,,-0.8,1.2,0.4,0.6
Buddy Hield,19279841,SF,31,IND,52,28,25.7,4.4,9.9,.443,2.6,6.9,.384,1.8,3.1,.575,.575,0.5,0.6,.848,0.7,2.6,3.2,2.7,0.8,0.6,1.2,2.0,12.0,12.9,.586,.691,.064,2.9,11.4,7.2,12.9,1.5,1.8,10.4,18.5,,,,,,,,,1.1,0.7,1.8,.065,,,,,,,,,1.0,-0.8,0.1,0.7
Evan Fournier,18857143,SG,31,NYK,3,0,13.0,1.3,6.7,.200,0.7,5.0,.133,0.7,1.7,.400,.250,0.7,0.7,1.000,0.0,1.3,1.3,1.0,1.3,0.0,0.3,1.3,4.0,2.2,.287,.750,.100,0.0,11.3,5.7,10.0,5.1,0.0,4.6,23.9,,,,,,,,,-0.2,0.1,-0.1,-0.102,,,,,,,,,-12.1,0.4,-11.6,-0.1
Bogdan Bogdanovic,18700000,SG,31,ATL,48,6,28.7,6.1,14.0,.433,3.1,8.4,.373,2.9,5.6,.524,.545,1.8,2.0,.907,0.5,2.6,3.1,2.7,1.3,0.2,1.1,2.4,17.1,15.5,.574,.601,.144,1.9,10.2,5.9,13.7,2.2,0.7,7.1,22.9,,,,,,,,,2.0,0.6,2.5,.088,,,,,,,,,1.2,-0.6,0.6,0.9
OG Anunoby,18642857,SF,26,TOT,41,41,34.1,5.8,11.7,.498,2.1,5.5,.379,3.7,6.1,.606,.588,1.6,2.0,.774,1.0,3.2,4.2,2.3,1.3,0.7,1.5,2.3,15.3,13.4,.609,.475,.176,3.1,10.5,6.8,9.3,1.9,1.8,10.7,17.6,,,,,,,,,1.3,1.3,2.6,.088,,,,,,,,,-0.6,0.5,-0.1,0.7
Marcus Smart,18583713,PG,29,MEM,20,20,30.3,5.1,11.9,.430,2.1,6.7,.313,3.0,5.2,.583,.519,2.2,2.8,.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5,11.7,.552,.565,.236,1.0,8.8,4.8,22.4,3.3,0.8,19.2,23.0,,,,,,,,,-0.6,0.8,0.2,.019,,,,,,,,,-3.5,1.1,-2.4,-0.1
Nikola Vucevic,18518519,C,33,CHI,46,44,34.1,7.4,15.5,.478,1.1,4.0,.274,6.3,11.5,.550,.514,1.3,1.5,.871,2.6,7.9,10.5,3.5,0.7,0.9,1.5,2.5,17.3,17.3,.534,.261,.098,8.2,26.7,17.2,16.0,1.0,2.6,8.4,22.7,,,,,,,,,1.3,2.0,3.3,.102,,,,,,,,,0.3,-0.2,0.1,0.8
Derrick White,18357143,SG,29,BOS,46,46,32.0,5.4,11.8,.457,2.7,6.7,.399,2.7,5.1,.532,.570,2.2,2.5,.888,0.7,3.3,4.0,4.7,1.0,1.2,1.6,2.2,15.7,16.7,.608,.569,.214,2.4,10.3,6.5,20.4,1.5,3.4,11.0,19.4,,,,,,,,,2.9,2.2,5.0,.165,,,,,,,,,2.2,1.5,3.7,2.1
Dejounte Murray,18214000,SG,27,ATL,49,49,35.0,8.2,17.7,.466,2.3,6.2,.370,6.0,11.5,.518,.531,2.7,3.2,.834,0.7,4.4,5.1,5.2,1.3,0.3,2.2,1.8,21.4,16.7,.561,.349,.181,2.0,14.1,7.8,22.4,1.7,0.7,10.4,24.9,,,,,,,,,2.0,0.7,2.7,.076,,,,,,,,,1.3,-1.0,0.3,1.0
Duncan Robinson,18154000,SF,29,MIA,46,17,27.4,4.6,10.1,.454,2.7,6.8,.402,1.8,3.3,.559,.589,1.3,1.4,.879,0.2,2.2,2.4,2.8,0.6,0.2,1.3,2.3,13.1,12.4,.613,.672,.143,1.0,9.2,5.0,15.7,1.1,0.7,11.2,19.4,,,,,,,,,1.1,1.1,2.2,.085,,,,,,,,,-0.2,-0.9,-1.2,0.3
Norman Powell,18000000,SG,30,LAC,49,0,25.3,4.8,9.6,.496,2.1,4.7,.450,2.7,4.9,.539,.605,1.9,2.3,.847,0.2,2.4,2.6,1.0,0.5,0.3,0.9,1.9,13.5,14.1,.639,.487,.236,0.8,10.5,5.8,5.7,1.0,1.2,7.5,19.7,,,,,,,,,1.9,1.0,2.9,.114,,,,,,,,,0.5,-1.0,-0.5,0.5
Jonathan Isaac,17400000,PF,26,ORL,33,1,14.4,2.2,4.6,.467,0.5,1.8,.288,1.6,2.8,.581,.523,1.2,1.6,.759,1.1,2.9,4.0,0.4,0.7,1.2,0.5,1.1,6.1,17.5,.569,.388,.355,8.5,23.4,15.8,4.0,2.5,7.4,8.3,17.4,,,,,,,,,0.5,1.1,1.5,.156,,,,,,,,,-0.2,2.6,2.4,0.5
Collin Sexton,17325000,SG,25,UTA,52,29,24.4,5.9,12.3,.482,1.5,4.0,.383,4.4,8.3,.529,.544,4.1,4.7,.884,0.8,1.7,2.5,4.4,0.7,0.2,1.9,2.0,17.4,19.9,.610,.323,.380,3.9,7.4,5.7,28.4,1.4,0.6,11.6,27.6,,,,,,,,,3.3,0.5,3.8,.145,,,,,,,,,3.5,-1.5,1.9,1.2
D'Angelo Russell,17307693,PG,27,LAL,48,41,31.0,6.4,13.7,.465,2.6,6.3,.416,3.7,7.4,.507,.561,1.9,2.4,.800,0.4,2.3,2.7,6.2,0.8,0.5,2.0,2.0,17.3,16.1,.586,.462,.175,1.4,8.0,4.8,29.3,1.2,1.5,11.7,23.2,,,,,,,,,1.8,1.2,2.9,.095,,,,,,,,,1.6,-0.9,0.7,1.0
Lauri Markkanen,17259999,PF,26,UTA,42,42,32.7,8.0,16.0,.501,3.3,8.1,.407,4.7,8.0,.596,.603,4.4,5.0,.882,2.4,6.2,8.6,2.0,0.9,0.5,1.2,2.0,23.8,23.0,.652,.504,.314,8.1,20.6,14.4,9.4,1.3,1.3,6.4,24.8,,,,,,,,,4.6,1.1,5.7,.198,,,,,,,,,6.0,-1.1,5.0,2.4
Marcus Morris,17116279,PF,34,PHI,37,7,17.2,2.4,5.5,.439,1.0,2.4,.400,1.5,3.1,.470,.527,0.8,1.0,.861,0.5,2.5,2.9,0.7,0.4,0.3,0.5,1.6,6.7,10.4,.559,.439,.176,3.1,15.8,9.4,5.5,1.0,1.5,7.9,16.1,,,,,,,,,0.3,0.6,1.0,.072,,,,,,,,,-2.2,-1.2,-3.4,-0.2
Harrison Barnes,17000000,PF,31,SAC,49,49,30.1,4.2,8.8,.479,2.0,4.9,.404,2.2,3.9,.573,.591,1.8,2.2,.809,0.8,2.1,2.9,1.2,0.7,0.2,0.8,1.2,12.2,11.6,.624,.556,.255,3.1,7.9,5.4,5.4,1.2,0.5,7.2,14.9,,,,,,,,,1.9,0.9,2.7,.089,,,,,,,,,-0.8,-1.2,-2.0,0.0
Davis Bertans,17000000,PF,31,OKC,15,0,6.1,0.7,1.7,.385,0.7,1.6,.417,0.0,0.1,.000,.577,0.9,1.0,.933,0.1,0.5,0.7,0.6,0.2,0.2,0.1,0.7,2.9,17.2,.675,.923,.577,2.6,9.4,6.2,12.2,1.6,3.1,3.0,16.1,,,,,,,,,0.3,0.1,0.4,.227,,,,,,,,,3.1,0.8,3.9,0.1
Markelle Fultz,17000000,PG,25,ORL,18,12,24.7,4.3,8.5,.510,0.1,0.3,.200,4.3,8.2,.520,.513,0.4,0.8,.533,1.2,1.9,3.1,3.7,1.3,0.4,1.2,1.8,9.2,13.7,.517,.033,.098,5.6,8.9,7.2,22.4,2.6,1.5,11.6,17.5,,,,,,,,,0.2,0.7,0.9,.093,,,,,,,,,-1.8,2.4,0.6,0.3
Jusuf Nurkic,16875000,C,29,PHO,48,48,27.4,4.6,9.0,.515,0.4,1.7,.259,4.2,7.3,.574,.539,2.3,3.3,.699,2.7,7.6,10.3,3.7,1.0,1.0,2.1,3.3,12.0,18.0,.574,.188,.362,12.0,30.3,21.7,18.9,1.8,3.2,16.5,19.7,,,,,,,,,1.6,2.2,3.9,.141,,,,,,,,,-0.6,1.5,0.9,1.0
Rui Hachimura,15740741,PF,25,LAL,38,9,23.2,4.3,8.6,.497,1.2,3.0,.389,3.1,5.6,.554,.564,1.6,2.1,.753,0.8,2.9,3.7,1.1,0.7,0.2,0.8,1.3,11.3,13.8,.593,.347,.248,3.9,13.3,8.8,6.8,1.5,0.9,7.4,19.1,,,,,,,,,0.7,0.8,1.5,.085,,,,,,,,,-1.2,-0.8,-2.0,0.0
Mitchell Robinson,15681818,C,25,NYK,21,21,29.2,2.8,4.7,.592,0.0,0.0,,2.8,4.7,.592,.592,0.7,1.8,.368,5.3,5.0,10.3,0.7,1.5,1.3,1.0,1.9,6.2,16.0,.567,.000,.388,20.4,18.7,19.5,3.2,2.6,4.1,15.5,9.4,,,,,,,,,0.9,1.2,2.0,.160,,,,,,,,,-0.4,1.0,0.7,0.4
Kevin Huerter,15669643,SG,25,SAC,47,42,25.0,4.1,9.1,.447,2.0,5.6,.365,2.0,3.6,.575,.558,0.7,0.9,.780,0.6,3.1,3.7,2.8,0.7,0.4,0.7,2.2,10.9,13.0,.571,.612,.095,2.6,14.5,8.4,15.0,1.3,1.3,7.2,17.5,,,,,,,,,1.3,1.0,2.4,.096,,,,,,,,,-0.1,-0.2,-0.3,0.5
Jonas Valanciunas,15435000,C,31,NOP,50,50,26.2,5.6,9.8,.565,0.6,1.7,.345,5.0,8.1,.612,.596,2.4,3.0,.793,2.7,7.0,9.7,2.4,0.5,1.0,1.4,3.0,14.1,20.9,.632,.177,.305,11.5,29.3,20.5,13.4,0.9,3.9,10.9,20.5,,,,,,,,,3.2,2.1,5.3,.196,,,,,,,,,1.7,0.6,2.3,1.4
Caris LeVert,15384616,SG,29,CLE,38,1,28.2,5.5,13.0,.426,1.9,5.4,.346,3.7,7.6,.483,.498,2.4,3.2,.748,0.5,3.0,3.5,4.2,1.1,0.4,1.5,1.7,15.3,14.9,.533,.416,.249,2.0,11.5,6.8,21.6,1.8,1.3,9.6,24.4,,,,,,,,,0.7,1.6,2.2,.100,,,,,,,,,-0.3,0.6,0.3,0.6
Luguentz Dort,15277778,SF,24,OKC,49,49,28.6,3.6,8.2,.437,1.9,4.8,.390,1.7,3.4,.503,.551,1.6,2.0,.806,1.1,2.7,3.8,1.3,0.8,0.7,0.9,3.0,10.7,10.9,.586,.586,.243,4.7,10.0,7.5,5.8,1.4,2.4,9.0,15.2,,,,,,,,,1.2,1.6,2.8,.095,,,,,,,,,-1.6,-0.2,-1.9,0.1
Luke Kennard,14763636,SG,27,MEM,24,10,24.4,3.5,8.0,.438,2.7,6.0,.448,0.8,2.0,.404,.607,0.8,0.9,.857,0.4,2.7,3.1,3.1,0.5,0.0,1.0,1.1,10.5,13.1,.624,.755,.109,1.6,12.6,6.9,19.2,0.9,0.2,10.7,16.5,,,,,,,,,0.8,0.5,1.3,.105,,,,,,,,,0.8,-0.5,0.3,0.3
Kentavious Caldwell-Pope,14704938,SG,30,DEN,49,49,32.4,3.6,8.0,.446,1.5,3.9,.381,2.1,4.1,.507,.538,1.7,1.8,.920,0.4,1.9,2.3,2.3,1.3,0.5,1.0,2.0,10.2,10.2,.584,.485,.226,1.5,6.5,4.1,9.0,2.1,1.2,10.3,13.1,,,,,,,,,1.2,1.6,2.8,.084,,,,,,,,,-2.5,0.5,-2.0,0.0
Max Strus,14487684,SF,27,CLE,48,48,32.8,4.5,11.1,.406,2.5,7.4,.343,2.0,3.7,.531,.520,1.0,1.3,.806,0.8,4.2,5.0,3.7,1.0,0.5,1.5,2.6,12.6,11.0,.539,.665,.116,2.8,14.0,8.5,15.1,1.4,1.3,11.6,17.5,,,,,,,,,0.6,2.3,2.8,.087,,,,,,,,,-1.5,0.9,-0.6,0.6
Reggie Bullock,14210528,SF,32,HOU,20,0,9.0,0.9,2.1,.405,0.6,1.6,.387,0.3,0.6,.455,.548,0.1,0.1,1.000,0.2,1.3,1.4,0.5,0.2,0.1,0.3,0.5,2.4,8.0,.554,.738,.024,1.8,15.0,8.4,7.3,1.1,1.0,10.5,11.3,,,,,,,,,0.0,0.2,0.2,.066,,,,,,,,,-2.5,0.0,-2.5,0.0
Tyus Jones,14000000,PG,27,WAS,49,49,28.5,5.1,10.4,.491,1.4,3.7,.392,3.7,6.7,.546,.561,0.5,0.7,.758,0.3,2.5,2.8,6.3,1.2,0.3,0.9,0.8,12.2,16.3,.569,.356,.065,1.1,9.6,5.3,30.9,1.9,0.9,7.8,17.1,,,,,,,,,2.3,0.5,2.9,.098,,,,,,,,,1.0,-0.6,0.4,0.8
Dorian Finney-Smith,13932008,PF,30,BRK,42,31,28.8,3.3,8.1,.412,2.1,5.5,.383,1.2,2.6,.473,.541,0.3,0.5,.700,1.7,3.1,4.8,1.4,0.7,0.6,0.8,2.2,9.1,10.1,.548,.676,.059,6.2,11.9,9.0,6.6,1.3,1.9,8.9,13.5,,,,,,,,,0.7,0.9,1.6,.063,,,,,,,,,-1.5,-0.4,-1.9,0.0
Doug McDermott,13750000,SF,32,SAS,45,0,15.3,2.1,4.7,.443,1.7,3.8,.441,0.4,0.9,.452,.620,0.2,0.4,.588,0.2,0.9,1.0,1.3,0.2,0.0,0.5,1.0,6.1,9.6,.622,.802,.080,1.2,6.2,3.7,11.2,0.8,0.2,9.9,14.8,,,,,,,,,0.5,0.1,0.6,.043,,,,,,,,,-1.1,-2.0,-3.1,-0.2
Anthony Edwards,13534817,SG,22,MIN,48,48,35.1,8.9,19.1,.466,2.5,6.5,.394,6.4,12.7,.502,.532,5.5,6.5,.838,0.6,4.6,5.3,5.1,1.2,0.5,3.4,2.0,25.9,19.0,.587,.337,.342,2.1,14.3,8.6,24.6,1.7,1.3,13.5,32.0,,,,,,,,,1.4,2.9,4.3,.124,,,,,,,,,2.6,0.5,3.1,2.2
Gary Harris,13000000,SG,29,ORL,30,6,22.6,2.5,5.7,.435,1.3,3.9,.328,1.2,1.8,.667,.547,0.8,1.1,.781,0.5,1.2,1.7,1.8,0.8,0.2,0.6,1.7,7.0,9.7,.573,.682,.188,2.5,6.1,4.2,10.8,1.7,0.8,8.5,12.8,,,,,,,,,0.6,0.8,1.4,.097,,,,,,,,,-2.3,0.8,-1.5,0.1
Josh Hart,12960000,SF,28,NYK,50,11,29.3,2.9,6.8,.426,0.9,2.8,.305,2.0,3.9,.513,.490,0.9,1.0,.827,1.3,5.6,7.0,3.0,0.7,0.3,1.2,1.8,7.5,10.2,.518,.417,.154,5.0,21.2,13.1,13.2,1.3,0.9,14.7,12.3,,,,,,,,,0.7,2.0,2.7,.088,,,,,,,,,-2.0,1.4,-0.7,0.5
Naz Reid,12950400,C,24,MIN,51,0,22.3,4.6,9.5,.487,1.9,4.7,.413,2.7,4.8,.559,.589,1.1,1.4,.750,0.9,3.7,4.6,1.1,0.7,0.7,1.2,2.0,12.3,15.7,.605,.495,.148,4.8,17.9,11.8,7.5,1.6,2.9,10.9,22.4,,,,,,,,,0.7,2.2,2.9,.122,,,,,,,,,0.5,1.1,1.6,1.0
Grant Williams,12405000,PF,25,DAL,47,33,26.4,2.8,6.7,.413,1.7,4.5,.376,1.1,2.3,.486,.538,0.9,1.2,.745,1.0,2.6,3.6,1.7,0.5,0.6,1.1,2.9,8.1,8.2,.560,.662,.174,4.0,11.1,7.5,8.3,0.9,1.9,13.4,13.5,,,,,,,,,0.3,0.8,1.1,.042,,,,,,,,,-2.6,-0.8,-3.4,-0.4
Daniel Gafford,12402000,C,25,WAS,44,44,26.3,4.5,6.4,.695,0.0,0.0,,4.5,6.4,.695,.695,1.9,2.7,.706,2.9,5.0,7.9,1.6,1.0,2.1,1.0,3.3,10.8,19.8,.712,.000,.422,11.6,20.7,16.1,8.1,1.7,6.5,11.9,13.8,,,,,,,,,2.9,1.3,4.2,.176,,,,,,,,,-0.4,1.1,0.6,0.8
Kelly Olynyk,12195122,C,32,UTA,50,8,20.4,2.9,5.2,.562,0.7,1.7,.429,2.2,3.5,.626,.632,1.6,1.9,.842,1.3,3.8,5.1,4.4,0.7,0.2,1.6,2.6,8.1,17.1,.677,.326,.368,6.9,20.2,13.6,29.0,1.7,1.0,21.3,15.5,,,,,,,,,2.4,0.9,3.3,.155,,,,,,,,,1.2,1.6,2.8,1.2
Victor Wembanyama,12160632,C,20,SAS,44,44,28.6,7.5,16.2,.462,1.5,4.9,.301,6.0,11.3,.532,.508,4.0,4.9,.813,2.3,8.0,10.3,3.2,1.2,3.1,3.4,2.3,20.4,21.7,.556,.303,.300,8.4,30.5,19.3,18.2,1.9,9.4,15.7,32.0,,,,,,,,,-0.8,2.3,1.5,.057,,,,,,,,,0.7,2.1,2.8,1.5
James Wiseman,12119440,C,22,DET,31,0,13.9,2.5,3.7,.672,0.0,0.1,.000,2.5,3.7,.684,.672,0.7,1.1,.629,1.3,2.6,3.9,0.6,0.1,0.6,0.8,1.9,5.7,15.0,.677,.017,.302,10.5,21.3,15.8,6.0,0.4,3.8,16.5,15.4,,,,,,,,,0.6,0.2,0.8,.088,,,,,,,,,-2.4,-1.2,-3.7,-0.2
Richaun Holmes,12046020,C,30,DAL,23,2,10.3,1.4,2.6,.559,0.0,0.0,,1.4,2.6,.559,.559,0.5,0.9,.571,1.4,2.0,3.4,0.7,0.1,0.4,0.5,1.4,3.4,13.8,.572,.000,.356,15.1,21.2,18.1,8.5,0.6,3.3,15.0,14.4,,,,,,,,,0.3,0.2,0.5,.108,,,,,,,,,-2.3,-0.8,-3.1,-0.1
Austin Reaves,12015150,SG,25,LAL,52,27,30.9,5.3,11.0,.486,1.7,4.7,.355,3.7,6.3,.584,.562,3.2,3.7,.863,0.7,3.3,4.0,5.3,0.9,0.2,2.1,1.8,15.5,15.5,.615,.428,.332,2.7,11.2,7.1,24.1,1.4,0.5,14.5,20.5,,,,,,,,,2.3,1.3,3.6,.107,,,,,,,,,0.5,-0.5,0.0,0.8
Chris Boucher,11750000,PF,31,TOR,45,0,14.0,2.1,4.4,.485,0.6,2.0,.330,1.5,2.4,.609,.558,1.3,1.8,.759,1.2,2.9,4.1,0.4,0.3,0.4,0.5,1.4,6.2,15.3,.604,.444,.399,9.3,23.1,16.1,4.1,1.0,2.8,8.6,17.3,,,,,,,,,0.9,0.6,1.5,.115,,,,,,,,,-0.7,-1.4,-2.1,0.0
Bobby Portis,11710818,PF,28,MIL,51,1,23.9,5.0,10.1,.495,1.1,3.0,.377,3.9,7.1,.546,.551,1.3,1.7,.779,1.6,5.3,6.9,1.0,0.8,0.4,0.9,2.5,12.5,15.8,.574,.299,.167,7.5,23.7,15.9,5.9,1.5,1.4,7.5,20.8,,,,,,,,,1.2,1.4,2.6,.103,,,,,,,,,-0.9,-1.0,-1.9,0.0
Nicolas Batum,11710818,PF,35,TOT,34,27,24.9,2.1,4.0,.519,1.3,2.9,.454,0.8,1.1,.684,.681,0.3,0.4,.643,1.2,2.6,3.9,2.3,0.7,0.7,0.6,2.0,5.7,11.5,.684,.719,.104,5.5,11.6,8.6,11.6,1.3,2.6,13.0,8.2,,,,,,,,,1.4,0.9,2.3,.128,,,,,,,,,0.0,0.7,0.7,0.6
Robert Covington,11692308,SF-PF,33,TOT,29,6,16.8,1.5,3.4,.439,0.7,1.9,.339,0.8,1.4,.571,.536,0.8,0.9,.846,1.1,2.3,3.3,0.8,1.3,0.6,0.4,1.9,4.4,13.4,.580,.571,.265,7.0,15.0,11.0,6.1,3.9,3.3,9.1,10.5,,,,,,,,,0.6,0.9,1.5,.144,,,,,,,,,-1.0,3.2,2.2,0.5
Paolo Banchero,11608080,PF,21,ORL,51,51,34.9,8.1,18.0,.453,1.5,4.1,.360,6.6,13.8,.480,.494,5.2,7.4,.701,1.2,5.7,6.9,5.1,1.1,0.5,3.0,2.1,23.0,17.1,.540,.230,.412,3.8,19.3,11.4,24.2,1.5,1.4,12.4,29.9,,,,,,,,,0.4,2.6,3.0,.081,,,,,,,,,1.1,0.1,1.2,1.4
Robert Williams,11571429,C,26,POR,6,0,19.8,2.8,4.3,.654,0.0,0.0,,2.8,4.3,.654,.654,1.2,1.5,.778,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,6.8,17.1,.684,.000,.346,9.8,27.3,18.0,6.3,2.9,5.3,18.9,13.2,,,,,,,,,0.1,0.2,0.4,.144,,,,,,,,,-2.4,2.9,0.5,0.1
Coby White,11111111,PG,23,CHI,51,51,36.1,7.0,15.0,.465,2.9,7.2,.399,4.1,7.8,.525,.561,2.6,3.2,.817,0.5,4.2,4.7,5.2,0.7,0.3,2.2,2.3,19.4,15.3,.593,.482,.215,1.5,13.3,7.2,21.6,0.9,0.7,11.7,22.5,,,,,,,,,2.3,1.4,3.7,.096,,,,,,,,,1.2,-1.0,0.2,1.0
