Player,Salary,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, , , , , , , , ,OWS,DWS,WS,WS/48, , , , , , , , ,OBPM,DBPM,BPM,VORP
Anthony Davis,40600080,C,30,LAL,48,48,35.9,9.4,17.0,.554,0.4,1.2,.298,9.1,15.8,.574,.565,5.5,6.8,.809,3.1,9.1,12.3,3.9,1.1,2.4,2.1,2.5,24.7,25.3,.617,.070,.397,10.1,27.0,18.9,17.2,1.5,5.9,9.4,26.5,,,,,,,,,4.3,3.0,7.3,.203,,,,,,,,,3.4,1.8,5.2,3.1
Trae Young,40064220,PG,25,ATL,45,45,36.6,8.5,19.6,.435,3.4,8.9,.384,5.1,10.7,.477,.522,6.8,7.9,.862,0.5,2.3,2.8,10.9,1.5,0.2,4.3,2.1,27.3,21.1,.591,.455,.404,1.3,7.1,4.1,44.2,1.9,0.5,15.8,30.6,,,,,,,,,3.9,0.4,4.3,.125,,,,,,,,,5.4,-2.1,3.4,2.2
Zach LaVine,40064220,SG,28,CHI,25,23,34.9,6.8,15.0,.452,2.4,6.8,.349,4.4,8.3,.536,.531,3.5,4.1,.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5,15.1,.578,.449,.274,1.0,15.9,8.3,17.1,1.2,0.9,11.0,23.8,,,,,,,,,0.7,0.8,1.5,.083,,,,,,,,,0.6,-0.6,0.0,0.4
Luka Doncic,40064220,PG,24,DAL,43,43,37.7,11.7,23.9,.487,3.9,10.4,.374,7.8,13.5,.574,.569,7.3,9.4,.775,0.8,8.0,8.8,9.4,1.4,0.6,4.0,2.0,34.5,27.8,.615,.434,.393,2.3,23.8,12.9,43.2,1.8,1.4,12.4,36.2,,,,,,,,,5.0,1.9,6.8,.202,,,,,,,,,8.2,1.1,9.3,4.7
Tobias Harris,39270150,PF,31,PHI,45,45,34.0,6.8,13.2,.516,1.2,3.4,.348,5.6,9.8,.575,.561,3.1,3.4,.902,1.1,4.9,6.0,3.3,1.0,0.5,1.4,1.7,17.9,17.3,.608,.261,.257,3.6,15.9,9.7,14.3,1.4,1.4,8.8,20.3,,,,,,,,,2.8,1.6,4.4,.139,,,,,,,,,1.7,-0.3,1.3,1.3
Ben Simmons,37893408,PG,27,BRK,9,7,27.0,3.1,5.3,.583,0.0,0.0,,3.1,5.3,.583,.583,0.2,0.7,.333,2.9,7.2,10.1,7.0,0.6,0.7,2.0,2.8,6.4,16.7,.573,.000,.125,11.2,29.6,20.1,34.4,1.0,2.2,26.2,12.0,,,,,,,,,0.4,0.3,0.7,.144,,,,,,,,,-0.1,2.8,2.7,0.3
Pascal Siakam,37893408,PF,29,TOT,50,50,34.4,8.5,16.0,.533,1.2,3.5,.337,7.4,12.5,.588,.570,3.9,5.3,.743,1.6,4.9,6.5,4.9,0.8,0.2,2.1,2.4,22.2,19.1,.605,.218,.331,5.1,16.0,10.5,21.7,1.1,0.6,10.3,25.3,,,,,,,,,3.3,1.0,4.3,.119,,,,,,,,,2.4,-0.7,1.8,1.7
Kyrie Irving,37037037,SG,31,DAL,29,29,33.6,9.5,19.7,.482,3.0,7.0,.424,6.5,12.7,.514,.557,3.6,4.0,.896,0.8,4.2,5.0,5.4,1.4,0.4,1.7,1.9,25.5,22.7,.594,.356,.201,2.5,14.0,8.1,26.4,2.0,1.2,7.2,29.3,,,,,,,,,2.3,0.9,3.2,.158,,,,,,,,,5.5,0.1,5.6,1.9
Jrue Holiday,36861707,PG,33,BOS,46,46,33.4,5.0,10.7,.463,2.0,4.8,.423,2.9,5.9,.496,.558,1.2,1.4,.833,1.3,4.6,6.0,4.6,0.8,0.7,1.9,1.6,13.1,13.8,.580,.447,.134,4.5,13.9,9.4,18.5,1.1,2.0,14.4,17.0,,,,,,,,,1.7,2.1,3.8,.120,,,,,,,,,0.4,0.9,1.3,1.3
Karl-Anthony Towns,36016200,PF,28,MIN,50,50,33.3,8.1,15.7,.517,2.3,5.2,.437,5.8,10.5,.556,.589,4.2,4.8,.874,1.4,7.2,8.6,3.0,0.7,0.6,2.9,3.3,22.7,19.3,.637,.332,.304,5.2,23.2,14.8,14.9,1.0,1.7,14.0,27.4,,,,,,,,,2.4,3.1,5.5,.159,,,,,,,,,1.9,1.0,3.0,2.1
Devin Booker,36016200,PG,27,PHO,42,42,36.1,9.8,19.5,.502,2.3,5.9,.386,7.5,13.6,.552,.560,6.0,6.9,.869,0.7,4.1,4.7,7.1,0.9,0.4,2.6,3.0,27.9,22.8,.618,.303,.354,2.3,12.3,7.6,32.3,1.2,1.0,10.3,30.3,,,,,,,,,4.7,1.2,5.9,.187,,,,,,,,,4.2,-1.1,3.1,2.0
Kristaps Porzingis,36016200,C,28,BOS,36,36,29.7,6.6,12.6,.522,1.8,5.1,.351,4.8,7.4,.640,.594,4.6,5.5,.839,1.7,5.3,6.9,2.0,0.7,1.9,1.7,2.9,19.6,22.1,.652,.409,.440,6.2,17.9,12.3,10.1,1.1,5.6,10.0,24.1,,,,,,,,,2.9,1.9,4.8,.215,,,,,,,,,3.0,1.8,4.7,1.8
CJ McCollum,35802469,PG,32,NOP,36,36,31.9,6.9,14.7,.468,3.4,7.9,.437,3.4,6.8,.504,.585,2.0,2.5,.789,0.6,3.7,4.3,4.7,1.2,0.8,1.7,2.1,19.2,18.6,.607,.536,.170,2.1,12.6,7.4,21.6,1.8,2.6,9.5,23.5,,,,,,,,,2.1,1.4,3.5,.148,,,,,,,,,3.6,0.6,4.2,1.8
James Harden,35680595,PG,34,LAC,44,44,34.4,5.1,11.4,.448,2.8,6.6,.418,2.3,4.8,.490,.570,4.3,4.9,.876,0.4,4.6,5.0,8.6,1.2,0.9,2.5,2.1,17.3,19.6,.638,.582,.432,1.3,14.6,8.2,33.0,1.8,2.4,15.8,20.4,,,,,,,,,4.2,1.8,6.0,.191,,,,,,,,,4.2,0.9,5.1,2.7
Darius Garland,34005250,PG,24,CLE,24,24,32.3,7.0,14.7,.473,1.7,5.0,.345,5.3,9.8,.538,.531,3.4,4.0,.845,0.5,2.0,2.6,5.7,1.5,0.2,3.5,1.5,19.0,15.4,.577,.337,.275,1.9,6.9,4.4,26.4,2.3,0.5,17.7,26.8,,,,,,,,,0.2,1.1,1.2,.076,,,,,,,,,0.2,-0.5,-0.3,0.3
Ja Morant,34005250,PG,24,MEM,9,9,35.3,8.9,18.9,.471,1.6,5.7,.275,7.3,13.2,.555,.512,5.8,7.1,.813,0.7,4.9,5.6,8.1,0.8,0.6,3.0,2.1,25.1,20.3,.570,.300,.376,2.0,15.7,8.6,41.7,1.1,1.5,12.0,30.4,,,,,,,,,0.5,0.3,0.8,.120,,,,,,,,,2.6,0.5,3.1,0.4
